search_string,search_engine,title,media,timestamp,link,page_number
tata power,bing,"Suzlon Energy, YES Bank, Waaree Energies, Tata Power, Vedanta share biz updates",MSN,37 minutes ago,https://www.msn.com/en-in/money/other/suzlon-energy-yes-bank-waaree-energies-tata-power-vedanta-share-biz-updates/ar-AA1yNafX?ocid=BingNewsVerp,1
tata power,bing,"Tata Power shares in correction mode; should you buy, sell or hold the stock?",Business Today on MSN,5 days ago,https://www.msn.com/en-in/money/topstories/tata-power-shares-in-correction-mode-in-short-term-buy-sell-or-hold/ar-AA1yvffo?ocid=BingNewsVerp,1
tata power,bing,Tata Power Q3 Results 2025 LIVE Updates: Tata Power share price gains ahead of Q3 results today; here’s what to expect,Mint,6 days ago,https://www.livemint.com/market/stock-market-news/tata-power-q3-results-2025-live-updates-tata-power-q3-earnings-profit-tata-power-share-price-tata-power-stock-price-11738641997061-page-83.html,1
tata power,bing,"Nuvama cuts target price on Tata Power by 22%, maintains ‘Reduce’ rating",The Financial Express,5 days ago,https://www.financialexpress.com/market/nuvama-cuts-target-price-on-tata-power-by-22-maintains-reduce-rating-3739310/,1
tata power,bing,Tata Power gains 3% post Q3: Analysts split on outlook; should you 'Buy'?,Business Standard,6 days ago,https://www.business-standard.com/markets/news/tata-power-gains-3-post-q3-analysts-split-on-outlook-should-you-buy-125020500362_1.html,1
tata power,bing,"Tata Power shares: Target prices, triggers for Tata stock post Q3 results",Business Today on MSN,6 days ago,https://www.msn.com/en-in/money/topstories/tata-power-shares-target-prices-triggers-for-tata-stock-post-q3-results/ar-AA1yqv2Y?ocid=BingNewsVerp,1
tata power,bing,"Tata Power Q3 Results 2025 Highlights: Tata Power Q3 PAT rises 10% YoY to ₹1,188 crore",Mint,6 days ago,https://www.livemint.com/market/stock-market-news/tata-power-q3-results-2025-live-updates-tata-power-q3-earnings-profit-tata-power-share-price-tata-power-stock-price-11738641997061-page-317.html,1
tata power,bing,"Tata Power Q3 Results: Net profit up 10% at Rs 1,187 crore",Indiatimes,6 days ago,https://economictimes.indiatimes.com/markets/stocks/earnings/tata-power-q3-results-net-profit-up-10-at-rs-1187-crore/articleshow/117917016.cms,1
tata power,bing,"Tata Power shares jump 3% after Q3 profit rises 10% YoY to Rs 1,188 crore",The Economic Times on MSN,6 days ago,https://www.msn.com/en-in/money/markets/tata-power-shares-jump-3-after-q3-profit-rises-10-yoy-to-rs-1188-crore/ar-AA1yqDp4?ocid=BingNewsVerp,1
tata power,bing,"Tata Power Q3 Results: Cons. PAT climbs 10% to Rs 1,188 crore",Zee Business on MSN,6 days ago,https://www.msn.com/en-in/money/economy/tata-power-q3-results-cons-pat-climbs-10-to-rs-1-188-crore/ar-AA1yo8vP?ocid=BingNewsVerp,1
tata cars,bing,Tata Motors Share Price Live Updates: Tata Motors Market Performance,Indiatimes,2 hours ago,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/tata-motors-stock-price-livestock-price-today-live-updates-11-feb-2025/liveblog/118131684.cms,1
