search_string,search_engine,title,media,timestamp,link,page_number
tesla cars,google,Tesla Model Y is no longer the best-selling car of the year in Europe,www.drivingeco.com,4 days ago,https://www.drivingeco.com/en/Tesla-Model-X-is-no-longer-the-best-selling-car-in-Europe/,2
tesla cars,google,2021 Tesla Model S Specs & Photos,autoevolution,8 hours ago,https://www.autoevolution.com/cars/tesla-model-s-2021.html,2
tesla cars,google,Tesla’s sales plummet across Europe,Financial Times,4 days ago,https://www.ft.com/content/ea2329e4-b4bc-4e2d-be34-e9a8ea31129c,2
tesla cars,google,Germany: Tesla sales plunge almost 60% in January,DW,3 days ago,https://www.dw.com/en/germany-tesla-sales-plunge-almost-60-in-january/a-71533790,2
tesla cars,google,"Amid Trump Tariff Threats, India Cuts Import Duty On American Bikes, Cars In Boost To Harley And Tesla",NDTV,1 week ago,https://www.ndtv.com/world-news/amid-trump-tariff-threats-india-cuts-import-duty-on-american-cars-bikes-in-boost-to-harley-and-tesla-7616866,2
tesla cars,google,Tesla May Have Finally Named Its Big Bus,CarBuzz,10 hours ago,https://carbuzz.com/trademark-tesla-robus-fsd-bus/,2
tesla cars,google,"News on Tesla’s New Factories in Mexico, India, & Netherlands to Build 4 Million Cars a Year",CleanTechnica,5 days ago,https://cleantechnica.com/2025/02/05/news-on-teslas-new-factories-in-mexico-india-netherlands-to-build-9-million-cars-a-year/,2
tesla cars,google,"Tesla raises prices of Model X cars in US by $5,000",Reuters,4 days ago,https://www.reuters.com/business/autos-transportation/tesla-raises-prices-model-x-cars-us-by-5000-2025-02-07/,2
tesla cars,google,Elon Musk’s journey from climate champion to backing EV-bashing Trump,The Guardian,3 days ago,https://www.theguardian.com/us-news/2025/feb/07/elon-musk-transformation-trump-climate,2
tesla cars,google,Tesla's China-made EV sales fall 11.5% y/y in January,Reuters,3 days ago,https://www.reuters.com/business/autos-transportation/teslas-china-made-ev-sales-fall-115-yy-january-2025-02-07/,2
tata power,google,How solar energy powers electric vehicles for a sustainable future,Tata Power,19 hours ago,https://www.tatapower.com/blogs/how-solar-energy-powers-electric-vehicles-for-a-sustainable-future,2
tata power,google,MC Exclusive | Have shortlisted six locations for nuclear power projects: Tata Power CEO Praveer Sinha,Moneycontrol,5 days ago,https://www.moneycontrol.com/news/business/earnings/mc-exclusive-have-shortlisted-six-locations-for-nuclear-power-projects-tata-power-ceo-praveer-sinha-12931653.html,2
tata power,google,Tata Power planning to double Tirunelveli solar cell unit: Chandrasekaran,Business Standard,4 days ago,https://www.business-standard.com/industry/news/stalin-inaugurates-tata-power-arm-s-tirunelveli-solar-cell-and-module-unit-125020601621_1.html,2
tata power,google,"Tata Power's Trombay Unit 5 Resumes Operations, Restores 500 MW Supply",Construction World,23 hours ago,https://www.constructionworld.in/energy-infrastructure/power-and-renewable-energy/tata-powers-trombay-unit-5-resumes-operations-restores-500-mw-supply/68817,2
tata power,google,"Tata Power Q3 Results: Profit up 10%, margin expands; Looks for opportunity in small nuclear reactors",CNBC TV18,6 days ago,https://www.cnbctv18.com/market/tata-power-q3-results-margin-expansion-nuclear-reactor-opportunity-budget-share-price-reaction-19552397.htm,2
tata power,google,"Buy Tata Power Company, target price Rs 456: JM Financial",The Economic Times,4 days ago,https://m.economictimes.com/markets/stocks/recos/buy-tata-power-company-target-price-rs-456-jm-financial/articleshow/117969735.cms,2
tata power,google,The top 10 features of the best EV charging app for EV owners,Tata Power,19 hours ago,https://www.tatapower.com/blogs/the-top-10-features-of-the-best-ev-charging-app-for-ev-owners,2
tata power,google,"Tata Power shares in correction mode; should you buy, sell or hold the stock?",Business Today,5 days ago,https://www.businesstoday.in/markets/company-stock/story/tata-power-shares-in-correction-mode-in-short-term-buy-sell-or-hold-463632-2025-02-06,2
tata power,google,"Tata Power shares gain 3% following strong Q3 earnings, brokerages mixed on outlook",Moneycontrol,6 days ago,https://www.moneycontrol.com/news/business/earnings/tata-power-shares-gain-3-following-strong-q3-earnings-brokerages-mixed-on-outlook-12930853.html,2
tata power,google,initiative lighting up India,Tata Power,3 days ago,https://www.tatapower.com/blogs/tata-powers-ghar-ghar-solar-initiative-lighting-up-india,2
tata power,google,"Tata Power Share Price Highlights : Tata Power closed today at ₹358.20, down -2.33% from yesterday's ₹366.75 | Stock Market News",mint,16 hours ago,https://www.livemint.com/market/live-blog/tata-power-share-price-today-latest-live-updates-on-10-feb-2025-11739154657040.html,1
tata power,google,"Tata Power Share Price | टाटा पावर का स्टॉक 52 -वीक लो के करीब, एक्सपर्ट्स ने दिए महत्वपूर्ण संकेत – NSE: TATAPOWER",Maharashtranama Hindi,21 hours ago,https://hindi.maharashtranama.com/stock-market/tata-power-share-price-monday-10-february-2025-hindi-news/,1
tata power,google,"TATA Power Share Price: इस कंपनी ने दिया 6 महीने में 12.14% का घाटा! अब दे रहा है बम्पर फायदा, अब भी है मौका...",IBC24 News,1 day ago,https://www.ibc24.in/business/tata-power-share-price-this-company-gave-a-loss-of-12-14-in-6-months-now-it-is-giving-bumper-profit-there-is-still-a-chance-2938506.html,1
