search_string,search_engine,title,media,timestamp,link,page_number
tesla cars,yahoo,Tesla rival CEO has a big goal for his distressed EV business,TheStreet.com,4 hours ago ·,https://r.search.yahoo.com/_ylt=AwrO6xlK7qpnY5cEB1rQtDMD;_ylu=Y29sbwNncTEEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1739284170/RO=10/RU=https%3a%2f%2fwww.thestreet.com%2felectric-vehicles%2ftesla-rival-ceo-has-a-big-goal-for-his-distressed-ev-business/RK=2/RS=EZdKAVJ4uLIkoRpd7KJiBg0IJDM-,2
tesla cars,yahoo,Tesla Cybertruck Crashes Into Pole While Running 'Full Self-Driving' Software,PC Mag ·  via Yahoo News,14 hours ago ·,https://r.search.yahoo.com/_ylt=AwrO6xlK7qpnY5cECVrQtDMD;_ylu=Y29sbwNncTEEcG9zAzIEdnRpZAMEc2VjA3Ny/RV=2/RE=1739284170/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2ftech%2ftesla-cybertruck-crashes-pole-while-163833146.html/RK=2/RS=wMxWsaLEHw0ilKjiFw3gEjFd2QM-,2
tesla cars,yahoo,Tesla turns to Texas to test its autonomous “Cybercab”,Ars Technica,12 hours ago ·,https://r.search.yahoo.com/_ylt=AwrO6xlK7qpnY5cEC1rQtDMD;_ylu=Y29sbwNncTEEcG9zAzMEdnRpZAMEc2VjA3Ny/RV=2/RE=1739284170/RO=10/RU=https%3a%2f%2farstechnica.com%2fcars%2f2025%2f02%2ftesla-turns-to-texas-to-test-its-autonomous-cybercab%2f/RK=2/RS=f6QTBOhBvyCtxY0kDgPYpc8cfuE-,2
tesla cars,yahoo,How Elon Musk’s crusade against government could benefit Tesla - The Boston...,The Boston Globe,1 hour ago ·,https://r.search.yahoo.com/_ylt=AwrO6xlK7qpnY5cEDFrQtDMD;_ylu=Y29sbwNncTEEcG9zAzQEdnRpZAMEc2VjA3Ny/RV=2/RE=1739284170/RO=10/RU=https%3a%2f%2fwww.bostonglobe.com%2f2025%2f02%2f11%2fnation%2fhow-elon-musks-crusade-against-government-could-benefit-tesla%2f/RK=2/RS=S.y3bXG_MaqdwfFh.9ycRNc2BJA-,2
tesla cars,yahoo,Tesla is an AI company now,Autoblog,5 days ago ·,https://r.search.yahoo.com/_ylt=AwrO6xlK7qpnY5cEDlrQtDMD;_ylu=Y29sbwNncTEEcG9zAzUEdnRpZAMEc2VjA3Ny/RV=2/RE=1739284170/RO=10/RU=https%3a%2f%2fwww.autoblog.com%2fnews%2ftesla-is-an-ai-company-now/RK=2/RS=GCBfO5UMPOEobSGPmihtD4pIIMY-,2
tesla cars,yahoo,Tesla robotaxis by June? Musk turns to Texas for hands-off regulation,Reuters ·  via Yahoo Finance,19 hours ago ·,https://r.search.yahoo.com/_ylt=AwrO6xlK7qpnY5cEEFrQtDMD;_ylu=Y29sbwNncTEEcG9zAzYEdnRpZAMEc2VjA3Ny/RV=2/RE=1739284170/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2ftesla-robotaxis-june-musk-turns-110816265.html%3ffr%3dsycsrp_catchall/RK=2/RS=qGpZ09ePzGiAscHk9RVv.2sJ7TQ-,2
tesla cars,yahoo,NDP wants tariffs on Teslas and a $10K made-in-Canada EV rebate,CBC ·  via Yahoo News,11 hours ago ·,https://r.search.yahoo.com/_ylt=AwrO6xlK7qpnY5cEElrQtDMD;_ylu=Y29sbwNncTEEcG9zAzcEdnRpZAMEc2VjA3Ny/RV=2/RE=1739284170/RO=10/RU=https%3a%2f%2fwww.yahoo.com%2fnews%2fndp-wants-tariffs-teslas-10k-190330643.html%3ffr%3dsycsrp_catchall/RK=2/RS=P9fGpnr_GJFBRx62DcKbh.SU4.k-,2
tesla cars,yahoo,Tesla sees German car sales plunge in January,Reuters ·  via AOL,6 days ago ·,https://r.search.yahoo.com/_ylt=AwrO6xlK7qpnY5cEFFrQtDMD;_ylu=Y29sbwNncTEEcG9zAzgEdnRpZAMEc2VjA3Ny/RV=2/RE=1739284170/RO=10/RU=https%3a%2f%2fwww.aol.com%2ftesla-sees-german-car-sales-144208049.html/RK=2/RS=Dqfxy44EtmjweCfMaQiySgywY_c-,2
tesla cars,yahoo,Tesla Is Losing Ground Against Its Biggest Rival in China,The Wall Street Journal,15 hours ago ·,https://r.search.yahoo.com/_ylt=AwrO6xlK7qpnY5cEFlrQtDMD;_ylu=Y29sbwNncTEEcG9zAzkEdnRpZAMEc2VjA3Ny/RV=2/RE=1739284170/RO=10/RU=https%3a%2f%2fwww.wsj.com%2fbusiness%2fautos%2ftesla-is-losing-ground-against-its-biggest-rival-in-china-c0ebd081/RK=2/RS=QxJn1PpDTLrO02Khrhxju2APDtI-,2
tesla cars,yahoo,Tesla car sales in China fall 11.5% as competition intensifies,CNBC,4 days ago ·,https://r.search.yahoo.com/_ylt=AwrO6xlK7qpnY5cEGFrQtDMD;_ylu=Y29sbwNncTEEcG9zAzEwBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1739284170/RO=10/RU=https%3a%2f%2fwww.cnbc.com%2f2025%2f02%2f07%2ftesla-car-sales-in-china-fall-11point5percent-as-competition-intensifies.html/RK=2/RS=C7Me2wU8zUJ8uxMektq0poTUXOg-,2
